defect_words_unique,design_words_unique,test_words_unique,documentation_words_unique,implementation_words_unique,other_words_unique,common_words
,undocumented,,,,+tok+,
,rb_copy_generic_ivar,,,,appenddata,
,irritating,,,,stateless,
,pov,,,,bg_yellow,
,/elementprop,,,,extremely,
,aggregates,,,,1948,
,warrant,,,,evaluating,
,who,,,,httpsamplerbase,
,hum,,,,docelem,
,modelhelper,,,,1082,
,somebody,,,,application.error.loadcolsinfo=unable,
,upto,,,,generalsessionpropertiespanel.metadata=meta,
,unexpanded,,,,sourcefolder,
,packageable,,,,urlconnection,
,basefavouriteaction,,,,intialized,
,decoupled,,,,nextisnull,
,registersqldriver,,,,tableexportcsvdlg.columnseparator=column,
,per-model/extent,,,,non-abs,
,fleeting,,,,org.apache.jmeter.samplers.remotethreadslistener,
,reexamine,,,,dstore_3,
,non-atomic,,,,followredirects,
,org.hibernate.metadata.entitymodemetadata,,,,resolvesymlinks,
,getpluginclass,,,,upwardly,
,shame,,,,classnode,
,overhauled,,,,underlaying,
,milli-seconds,,,,ashape,
,org.argouml.uml.ui.vetoablepropertychange,,,,this.getpersistentid,
,header.value,,,,styles,
,figfinalstate,,,,method.ifnonnull,
,y\,,,,3e,
,fromelementfactory.createcollectionjoin,,,,_exportprefstext.settext,
,signaturekey,,,,optionpane,
,email-adresses,,,,buffersaved,
,self.isroot,,,,varname,
,getpaint,,,,hung,
,reasonably,,,,non-duplicate,
,earth,,,,resolvedcritic,
,dasgnnode,,,,categoryplot.java,
,reading/writing,,,,uptodateness,
,.this,,,,istore_2,
,umlclass.,,,,0x009999,
,coincidence,,,,opens,
,supplying,,,,conceptual,
,proxyfactory,,,,dateaxis,
,.getactivitygraphs,,,,composer_options,
,20070401,,,,concurrentlinkedqueue,
,union-subclasses,,,,gridlines,
,monitorhealthvisualzer,,,,mysql.alterdlgalter=alter,
,computepositionandsize,,,,intensive,
,workout,,,,block-arg-based,
,abstractfilepersister,,,,postgresplugin.showindexsource=show,
,desktopicon.font,,,,d7a3,
,getproxyorpackageunderpackage,,,,subtree,
,getimportsettings,,,,0.99,
,indexedcollection.createprimarykey,,,,.ecore,
,io-like,,,,javax.swing.jfilechooser,
,ioctl,,,,javax.swing.event.listselectionlistener,
,xmireader.parse,,,,handlers,
,getextendingclassifiers,,,,19-mar-2009,
,my_table,,,,right/left,
,joni,,,,searchpanel.getsearchmanager,
,insufficient,,,,withou,
,formal,,,,dumpapplicationaction.titlesuccess=dump,
,node_assign,,,,swapmarkerandcaret,
,conversation,,,,jfilechooser,
,sticking,,,,committed,
,getprojectbasename,,,,hardly,
,mmutil,,,,usec,
,suffer,,,,0-indexed,
,post.setheader,,,,download.oracle.com/javase/6/docs/jre/api/management/extension/com/sun/management/hotspotdiagnosticmxbean.html,
,thinking,,,,undos,
,20070205,,,,runner,
,cross-thread,,,,org.columba.mail.gui.message.textviewer,
,analogous,,,,t.b,
,pegging,,,,cursorchg,
,meh,,,,4-arg,
,0=hidden,,,,pcdata,
,2f4.0+,,,,windowhandler,
,marshalling/unmarshalling,,,,.getbackgroundcolor,
,thread.stop,,,,escape_mode_backslash,
,bugs.sun.com/bugdatabase/view_bug.do,,,,float,
,initiallly,,,,a\n,
,proud,,,,double-quote,
,figedgemodelelement,,,,syntax.operators=operators,
,findpanelfor,,,,net.sourceforge.squirrel_sql.fw.datasetviewer.cellcomponent.idatatypecomponent,
,compilable,,,,propertyprojection,
,innefficient,,,,getdatatypeobject,
,insertstatement,,,,disallows,
,compliance,,,,_sqlentrypanelidentifier,
,sessionpropertiesaction.java,,,,build-in,
,figclassifierboxwithattribute,,,,columnlistdialog.modifytitle=select,
,dropdown,,,,resulttab.elapsedtime=total,
,stereo.getname,,,,cheaper,
,.getroots,,,,sessionstartuptimehintdlg.text=this,
,createcriteria,,,,setsplitproportion,
,org.argouml.cognitive.agency,,,,exception.printstacktrace,
,misc.name.element-import.alias,,,,eproperties,
,importanance,,,,up-pointing,
,non-performant,,,,listview,
,header_content_type,,,,built-in,
,gnupg,,,,popupeditableiopanel.withcommand=with,
,duplicate.put,,,,codecompletion.usesyntaxplugin=code,
,restorespecialcharacters,,,,throws,
,darker,,,,universal,
,tailored,,,,1286,
,baseclass,,,,lbltitle.setname,
,reflexively,,,,27-apr-2004,
,consolidated,,,,ctrlx,
,nsmodel.getumlhelper,,,,getcontactcount,
,setselectedcomponent,,,,.isaextensionpoint,
,systemclassloader,,,,411,
,pkid,,,,editserver,
,callers,,,,througputinfo,
,sd,,,,auth,
,posting,,,,getchildcount,
,type/constant,,,,syntax.datatypes=data,
,brooms,,,,21-jan-2003,
,specific-size,,,,full-pathname,
,smoothed,,,,receptions,
,presentationsfor,,,,lines,
,jruby-4149,,,,1243,
,iobjecttreenodeexpander,,,,'package.class,
,findmostspecficmethod,,,,memberpersister.getpropertytype,
,transaction-synch,,,,imapserver,
,20060411,,,,codecompletion.prefstabtitle=code,
,fullname,,,,resulttransformer,
,hacky,,,,prelaunchhelperimpl.installupdatesmessage=updates,
,transientcopycache,,,,h-5,
,samplingstarted,,,,es,
,geteditpluginclass,,,,panel7,
,jmeter.threads,,,,painticon,
,ruby_setenv,,,,jruby-4113,
,umldiagramrenderer,,,,gridbagconstraints.northeast,
,metadatacache,,,,consistancy,
,cpercent,,,,bg_cyan,
,reflect.java,,,,unsynchronizedstack,
,copy-paste,,,,preferable,
,super.validateattributes,,,,1738,
,compileroot,,,,stopping,
,argo.,,,,noex_private,
,callconfiguration,,,,java.awt.event.windowlistener,
,relavant,,,,ticklength,
,preliminary,,,,databases,
,getstring,,,,getsmartcasereplace,
,nullable/not-nullable,,,,b_lyear.setfocuspainted,
,org.argouml.uml.reveng.settingstypes,,,,cancel/close,
,worn,,,,.getimageicon,
,modefactory,,,,substituting,
,parsersupport.attrset,,,,h-1-5,
,implementationclass,,,,_exportprefsbtn.addactionlistener,
,marshal_spec,,,,abrevs,
,anew,,,,datetypetimestamp.timestampinwhere=do,
,elese,,,,cond,
,ts,,,,'output,
,__time,,,,'extra,
,thread.join,,,,labelpaint,
,lastclass,,,,associatins,
,retrycount,,,,read-/write-,
,20070603,,,,/identity,
,re-export,,,,invokee,
,jruby-2759,,,,1913751,
,1.0.16,,,,addcaretlistener,
,argoeventpump,,,,datatypeobject,
,m1,,,,nag,
,non-ruby,,,,maxlinelen,
,insertrows,,,,splitvertically,
,rueckert,,,,org.columba.mail.message.headerinterface,
,faintly,,,,settings.core_level,
,anotherpt,,,,ibid,
,umlclass,,,,sqlinternalframe,
,org.argouml.model.datatypesfactory,,,,positional,
,rethink,,,,mssql.scriptindexses=script,
,collection/persistentclass,,,,arg3,
,holy,,,,nodevalue,
,resultsetref,,,,/org/eclipse/common/commonplugin.class,
,vfsmanager.sendvfsupdate,,,,1295,
,cet,,,,pos2,
,rowlock,,,,num_overshoot_bytes,
,component.,,,,o_,
,guiutilities,,,,textareaeditor,
,initializeentityeventlistener,,,,pce.getnewvalue,
,absurdly,,,,recorder,
,participates,,,,non-backslash,
,namepanel,,,,editpropertiesaction,
,sqlfragment,,,,1.11,
,'declared,,,,_end_,
,.gettarget,,,,getinedges,
,getparticipant,,,,self.allsurroundingnamespaces-,
,server/client,,,,caseaifexpression,
,sqlresultexecuterpanel,,,,zigzag,
,fg,,,,net.sourceforge.squirrel_sql.fw.datasetviewer,
,automated,,,,10-jul-2007,
,andrea_nironi,,,,visitlookupswitch,
,16mb,,,,shell,
,modelmanagementhelper.friend_stereotype,,,,expires/cachecontrol,
,3.2,,,,linkmouselistener,
,super.this.caller,,,,ticklabelformatter,
,tagtype,,,,preparing,
,aliasrefnode.gettext,,,,getmaxfunction,
,worrisome,,,,getmimetree,
,3b+msie+5.5,,,,set-like,
,javaclass.java,,,,edges,
,filternewlines,,,,importdataintotableexecutor.success=,
,map.remove,,,,locator2,
,higer,,,,message-frame,
,kid,,,,deletetostartofline,
,profileexception,,,,reg_notbol,
,httpclientkey,,,,alpha-channel,
,jorphanutils,,,,lasttoken,
,marshallable,,,,19-oct-2001,
,changeconnectednode,,,,romdhane,
,datasetviewerpropertydestination,,,,_xyz,
,tty,,,,accelerate,
,main.java,,,,/options,
,sessioncontext,,,,tablemodelevent.all_columns,
,httpentityenclosingrequestbase,,,,subregionoffsettox,
,spacewise,,,,571,
,lf-only,,,,-f-,
,instance_methods,,,,org.columba.core.taskmanager.taskmanagerlistener,
,umlfilepersister,,,,getparsedparameters,
,6056,,,,tcpsampler.close_connection_default,
,hasnonidentifierpropertynamedid,,,,ct,
,newedge,,,,insertfile,
,20081201,,,,exotic,
,addition/removal,,,,settokenmarker,
,logtarget,,,,samp.setdomain,
,deficiency,,,,quotation,
,guipack,,,,saveservice.properties,
,element/modelelement,,,,wake,
,userparameterxmlparser.getxmlparameters,,,,0b00,
,persistentcollectiontype,,,,datasetupdateabletablemodelimpl.error.deletefailed=one,
,fcntl,,,,getconstants,
,re-initialising,,,,localdateareabean.getdatearea,
,getclassmanager,,,,mouseentered,
,spring-inject,,,,i18n.tranlationsgenerationmessage=\n,
,null=shown,,,,messageviewer.getelement,
,upper-case,,,,removeaction,
,clearups,,,,savexxx,
,interruptedexception,,,,globals.clipboard.isempty,
,transientobjectexception,,,,setstatusmessage,
,jcompagner,,,,searchsettingschanged,
,httpconstants.get,,,,uneditable,
,classifierinstates,,,,hexvalue,
,a.,,,,mine,
,.firepropertychange,,,,tffielddefault.settext,
,argumentnode,,,,processnode,
,header.name,,,,condensed,
,frame.tofront,,,,graph.addtablerefby=add,
,'length,,,,.setresult,
,panel.rerunselectedresulttab,,,,development,
,writeability,,,,06-feb-2004,
,loadpath,,,,rfc822,
,jruby-2237,,,,uuuuu,
,templateparametersubstitution,,,,userobjects,
,cb.getfastoptmethod,,,,profiles.xml,
,getpropertycolumnspan,,,,fixedqueueexecutor,
,bootstrapper,,,,1307,
,ioinput/outputstream,,,,uncheckout,
,clazz_,,,,mocksessionproperties,
,packageimports,,,,hibernate.hibernatetabpanel.connect=connect/disconnect,
,non-transactional,,,,1769,
,container.touri,,,,editbutton,
,acme,,,,getinitialx,
,1.5.2,,,,plotting,
,main.initgef,,,,rowdatainputframe.insert=insert,
,getmodelproject,,,,extdirs,
,basicdelegate,,,,956,
,after-the-fact,,,,lower-cased,
,builddasgnassignment,,,,re-init,
,0.11.9,,,,getscreenlinestartoffset,
,sometime,,,,dubious,
,stereo.getbaseclass,,,,timeframe,
,joinedsubclassentitypersister,,,,java.net.url,
,resolveexpectedjavafield,,,,com.apple.eawt.applicationlistener,
,resultsetdataset,,,,21-may-2002,
,propertyaccessors,,,,getnamespaceelement,
,geteditorpluginclass,,,,trimsource,
,language/body,,,,hitfig,
,uml1.3,,,,loadposition,
,contactmodel,,,,layout.setrowgroups,
,getdeclared,,,,table=,
,-tml,,,,setselectallonfocus,
,issues.apache.org/bugzilla/show_bug.cgi,,,,23-oct-2008,
,getobject/setobject,,,,addelement,
,456,,,,suggestionsjscrollpane.getpreferredsize,
,tidied,,,,devices,
,figstereotypescompartment,,,,editwherecolssheet.shouldincludepks=the,
,pre-calculate,,,,driverpropertiescontroller.loadingdriverfailed=loading,
,johan,,,,eannotation,
,'cascading,,,,progressupdate,
,alwaysleaf,,,,barrenderer,
,dormant,,,,showfilepopup,
,hot-swapping,,,,a|b|c,
,fullfunctioncallbackmethod,,,,28,
,from/to,,,,department,
,currenttimemillis,,,,async_session.getapplication,
,supportscustomeditor,,,,removepluginprops,
,impliedfromelements,,,,did,
,.getainstanceclassifier,,,,editingoptionpane,
,result.settext,,,,math.log,
,quantify,,,,desc_t1,
,org.argouml.application.main,,,,no_flush,
,objecttree,,,,contentinserted,
,parameter.kind,,,,setcharttheme,
,1-element,,,,=n-1,
,email-addresses,,,,ashape.a_stroke,
,javadoc4,,,,/clarif,
,selectionclass,,,,removeallactions,
,ineffient,,,,filereader,
,notion,,,,hhh-276,
,shapeutilities,,,,chfields,
,xmifilepersister,,,,1373,
,gotten,,,,fourth,
,sqlstring,,,,_createinputstream,
,explanatory,,,,14-feb-2003,
,drool,,,,harder,
,bufferinputstream,,,,acces,
,rich,,,,substractranges,
,theuri,,,,ruby.getclasses,
,usefillpaint,,,,mon,
,get'em'all,,,,korean,
,brush,,,,b_rmonth.setfocuspainted,
,writemanifest,,,,baseitemlabelgenerator,
,axe,,,,re-release,
,hairy,,,,128k,
,entityentry-s,,,,colon-delimited,
,330,,,,ccm.exe,
,queueconnection,,,,draft,
,mkl,,,,rb,
,seemed,,,,clip,
,booleanexpresion,,,,harmony-2674,
,datasetutilities,,,,dbutils,
,setroots/getroots,,,,this.colorspool.get,
,umlpackage,,,,defaultoclevaluator.class.getname,
,'uml14,,,,hibernateconfigpanel.toobtainsessionfact=to,
,valuespecification,,,,termination,
,20080430,,,,key_suppress_shadow_generation,
,mexpression,,,,dtend,
,runtime-metamodel,,,,value.charat,
,multi-root,,,,entryfield,
,manytoone,,,,javadoc2,
,-.10g,,,,jruby-518,
,20060326,,,,establishes,
,amend,,,,getnonduplicatedpropertyiterator,
,sm,,,,borderpaint,
,jruby-3188,,,,validateattributes,
,project/model/xmi,,,,caches,
,16384,,,,getsource,
,subdiagrams,,,,egenerictypeimpl,
,-batch,,,,dia,
,self-contained,,,,escpaed,
,prob,,,,jruby-2353,
,pistol,,,,765507,
,contollers,,,,bottom-label-forms,
,key_default_shadow_width,,,,openview,
,bshclassloader,,,,oldeventpolicy,
,simple-,,,,mextend,
,seteditaddmenu,,,,franklin,
,triggersourcetab,,,,20031216,
,reto,,,,refused,
,continuous,,,,readstringarray,
,experiment,,,,abstractrenderer,
,abstractlistenerelement,,,,mystattablemodel,
,columba.jnlp,,,,getternames,
,instruct,,,,hibernateconfigpanel.classpathadd=add,
,www.ice.com/jcvs,,,,2-byte,
,selection.,,,,sqlscript.configyourmultitablescriptixatend=constraints,
,upgrade.properties/nameupdater.java,,,,this.name,
,eludes,,,,|ee|,
,consumption,,,,ismany,
,renederer,,,,historytextfield,
,m.setlineposition,,,,eenumimpl,
,setprojecturi,,,,settingsactionhandler,
,uri/name,,,,0c00,
,watching,,,,getschemainfo,
,nosuchmethod,,,,addexception,
,getextendedclassifiers,,,,_driverslist,
,8694,,,,handleeditpaneupdate,
,modulecontrollers,,,,resides,
,oid,,,,getbrowser,
,callcoerced,,,,operators,
,gist.github.com/163551,,,,wrap-round,
,doens't,,,,org.columba.core.command.worker,
,malicious,,,,oraclepluginpreferencespanel.readclobsfullycheckboxtt=read,
,isolated,,,,checkbos,
,getmoreresults,,,,quasi-deprecated,
,buildextensionpoint,,,,updatecontrollerimpl.updatechecktitle=update,
,consolidate,,,,23-apr-2008,
,modelimpl.getfacade,,,,1837,
,formally,,,,mailtaglist,
,0.20,,,,columndetailsdialog.modifycolumntitle=modify,
,crusty,,,,5\0,
,classpath/classmanagerimpl,,,,updatepreferencespanel.atstartuplabel=at,
,4071281,,,,junittesttask,
,messed,,,,commit/rollback,
,inout,,,,collectioninitializer,
,sendevent,,,,isdockablewindowvisible,
,prefroming,,,,scanned,
,cludge,,,,navigateparameterizedquery,
,xyitemrenderer,,,,supportsbatchupdates,
,class.,,,,java.awt.event.itemevent,
,isnaryassociation,,,,getusertextfont,
,up-size,,,,-graphical,
,account.,,,,getdefaultcolorfor,
,gettestsuiteclass,,,,details,
,uninstall,,,,stdout,
,description.,,,,/d,
,internalframe.font,,,,shift-click-drag,
,list.sublist,,,,aborting,
,403,,,,2ff0,
,foo.bar.collection,,,,builddasgn,
,sooner,,,,in-reply-to,
,gettimestampscacheinstance,,,,deliversampler,
,dom4j-node-name,,,,catalogmanager.getstaticmanager,
,mri/yarv,,,,implement_all,
,frederiks,,,,1-5,
,trashcan,,,,setenclosingfig,
,kosher,,,,150,
,enableactions,,,,cap,
,id-based,,,,11-jan-2005,
,getbounds,,,,figlifeline,
,universally,,,,mainrightpanel.setlayout,
,exckusive,,,,editbus.send,
,terminal,,,,4.5.2.5,
,elementprop,,,,todir,
,gerdwagner,,,,getdatabaseobjecttype,
,pg,,,,aboutboxdialog.info.endmemtimer=ending,
,vacuum,,,,jsr223beaninfosupport,
,screwed,,,,helpbutton,
,sergio,,,,691,
,autoconversions,,,,umlreserved.add,
,transientcopycache.size,,,,destfile,
,iitemuid,,,,getrelativepath,
,painful,,,,num2int,
,rbc,,,,mssql.onefileperobject=create,
,findaccessiblemethod,,,,isundoable,
,modulecontroller,,,,hide/show,
,host/,,,,bsh.cwd,
,host:80/,,,,inferred,
,dasgnnode.getdepth,,,,4.5.3.2,
,pathitems,,,,threadgroups,
,axion_,,,,spellcheck,
,getallpossibleassociationsforalink,,,,org.argouml.uml.diagram.ui.abstractactioncheckboxmenuitem,
,gravity,,,,currblockno++,
,hasreturnparameterdirectionkind,,,,astore_3,
,actionbooleantaggedvalue,,,,imageicon,
,dangerous,,,,getstandardruleset,
,per-diagram,,,,ascending=,
,hardwired,,,,++lastcursor,
,.getatypeobjectflowstate,,,,apple/mac,
,menubarfactory.createapplicationmenubar,,,,responsive,
,temple,,,,ichatmediator,
,0.19.2,,,,search-engine,
,bugzilla,,,,834338,
,namespaced,,,,myexpansionlistener,
,httpsamplerbase.method,,,,org.netbeans.editor.syntax,
,worthwhile,,,,type-name,
,pb,,,,pre-prepare,
,specialize,,,,getselectallonfocus,
,preloadevent,,,,mail.org,
,staleobjectstateexception,,,,repeatedly,
,actionnewdiagram,,,,input1,
,setbaseforscript,,,,generalsessionpropertiespanel.objecttabs=object,
,selectexpressions,,,,getcurrentnode,
,figstatevertex,,,,getcriticname,
,createclassmanager,,,,editor.getgraphmodel,
,structs,,,,byte.type,
,.selected,,,,1400,
,org.argouml.uml.diagram.ui.figcompartment,,,,changeadapterfactory,
,bailing,,,,vt,
,3031,,,,cross-catalog,
,cse,,,,px,
,'expression,,,,setrate,
,multiplegradientpaint,,,,bsf/jsr223,
,consistency-sake,,,,saying,
,subsystem.,,,,860,
,actionaddexistingnodes,,,,.cat,
,createmultiplicity,,,,org.eclipse.uml2.uml.objectnode.class,
,javaproxyclasses,,,,tags,
,figattributescompartment,,,,478,
,unreliable,,,,958,
,cleat,,,,contoller.next,
,d.maung,,,,data1,
,parent/super-type,,,,cp424,
,100.123,,,,anytypeimpl,
,.getconfigdirectory,,,,1140,
,importance,,,,sans,
,20070326,,,,filenamefield.gettext,
,xxxfactory,,,,nodatamessage,
,elegant,,,,isa_slash,
,reliably,,,,org.joni.encoding.encoding,
,rb_obj_id,,,,getlinetext,
,thomas,,,,string.pattern,
,argojmenu.addcheckitem,,,,gettypeordernumer,
,portable,,,,jdks,
,options.,,,,novalidation,
,diffferent,,,,explainplanexecuter.createplantablemsg=the,
,java.lang.error,,,,millisecs/sec,
,queryloader/statementexecutor,,,,columnsize,
,org.argouml.uml.actionaddstereotype,,,,org.argouml.uml.ui.umluserinterfacecomponent,
,file-scheme,,,,tabmodeltarget,
,forwardreference,,,,java.lang.comparable,
,referencevalues,,,,visit,
,refactor,,,,piedataset,
,rubyio.puts,,,,.getrecent,
,stopgap,,,,deactivateplugin,
,.assignlocalvariable,,,,chancellor,
,it.,,,,|=,
,rightly,,,,setenabled,
,reorganized,,,,tree-cellrenderer,
,zipfilepersister,,,,regularfont,
,statement.getresultset,,,,_copyhtml,
,reroutes,,,,msb,
,festering,,,,tbee,
,normalizedpath.split,,,,getfileseparator,
,mbase,,,,org.argouml.uml.diagram.state.ui.fighistorystate,
,screenbarmenus,,,,04ff,
,re-calc,,,,tablecolumn,
,mdl.com,,,,notations,
,org.argouml.uml.diagram.argodiagram,,,,unable,
,solo,,,,copy.add,
,a_rueckert,,,,20-feb-2007,
,removable,,,,_exportdriverschk.isselected,
,understanding,,,,mehr,
,componentization,,,,saver,
,neustupny,,,,rb_string_value,
,-0.0,,,,searchkey,
,dc,,,,allsizes,
,inspector,,,,shadowsvisible,
